obj_ASUSGeForceEN9400GTDI512M512MBDDR2PCIExpress;green;ASUSGeForceEN9400GTDI512M512MBDDR2PCIExpress
obj_ASUSGeForceEN9400GTDI1GB1GBDDR2PCIExpressLowProfile;red;ASUSGeForceEN9400GTDI1GB1GBDDR2PCIExpressLowProfile
obj_ASUSGeForceENGTS250HTDI512MD3512MBDDR3PCIExpress;green;ASUSGeForceENGTS250HTDI512MD3512MBDDR3PCIExpress
obj_ASUSGeforceENGTX260GLHTDI896MD3896MBDDR3PCIExpress;blue;ASUSGeforceENGTX260GLHTDI896MD3896MBDDR3PCIExpress
obj_80GBSamsungHD082GJSATAII8MBcachewinchester;green;80GBSamsungHD082GJSATAII8MBcachewinchester
obj_250GBSamsungHD250HJSATAII8MBcachewinchester;green;250GBSamsungHD250HJSATAII8MBcachewinchester
obj_320GBWDCaviarBlueWD3200AAKS7200rpmSATAII16MBcachewinchester;green;320GBWDCaviarBlueWD3200AAKS7200rpmSATAII16MBcachewinchester
obj_750GBSamsungHD753LJSATAII32MBcachewinchester;blue;750GBSamsungHD753LJSATAII32MBcachewinchester
obj_400GBWDCaviarSE16WD4000AAKSSATAII16MBcachewinchester;red;400GBWDCaviarSE16WD4000AAKSSATAII16MBcachewinchester
obj_750GBWDWD7501AALSSATAII32MBcacheDualProcessorwinchester;green;750GBWDWD7501AALSSATAII32MBcacheDualProcessorwinchester
obj_300GBWDWD3000HLFSRaptorSATAII16MBcachewinchester;blue;300GBWDWD3000HLFSRaptorSATAII16MBcachewinchester
obj_2TBWDRE4WD2002FYPSSATAII64MBcachewinchester;red;2TBWDRE4WD2002FYPSSATAII64MBcachewinchester
obj_SamsungSHS223BBEBESATADVDirofeketeOEM;blue;SamsungSHS223BBEBESATADVDirofeketeOEM
obj_LGGSAGH22NS30SATADVDirofeketeOEM;green;LGGSAGH22NS30SATADVDirofeketeOEM
obj_SonyOptiarcAD7243S0BSATADVDiroLabelFlashfekete;blue;SonyOptiarcAD7243S0BSATADVDiroLabelFlashfekete
obj_LGGH22LP20IDEDVDirofeketedobozos;blue;LGGH22LP20IDEDVDirofeketedobozos
obj_SamsungSHD162DBEBEDVDROMfeketeOEM;green;SamsungSHD162DBEBEDVDROMfeketeOEM
obj_LGDH16NS10RBBBSATADVDolvasofeketeOEM;red;LGDH16NS10RBBBSATADVDolvasofeketeOEM
obj_SamsungSHD163BBEBESATADVDROMfeketeOEM;green;SamsungSHD163BBEBESATADVDROMfeketeOEM
obj_19Samsung943NWLCDmonitorfekete;blue;19Samsung943NWLCDmonitorfekete
obj_20SamsungP2050LCDmonitorfekete;red;20SamsungP2050LCDmonitorfekete
obj_20Samsung2033HDmonitorMPEG4;red;20Samsung2033HDmonitorMPEG4
obj_22SamsungLD220LCDmonitorfekete;green;22SamsungLD220LCDmonitorfekete
obj_24AcerV243HBLCDmonitorfekete;blue;24AcerV243HBLCDmonitorfekete
